# Keepers: 3
# Takers:  2
# Region:  20 x 20
#
# Description of Fields:
# 1) Episode number
# 2) Start time in simulator steps (100ms)
# 3) End time in simulator steps (100ms)
# 4) Duration in simulator steps (100ms)
# 5) (o)ut of bounds / (t)aken away
#
122	8965	9082	117	t
123	9082	9161	79	t
124	9161	9227	66	t
125	9227	9355	128	t
126	9355	9425	70	t
127	9425	9533	108	o
128	9533	9613	80	t
129	9613	9688	75	o
130	9688	9724	36	t
131	9724	9764	40	o
132	9764	9861	97	t
133	9861	9948	87	t
134	9948	10012	64	t
135	10012	10048	36	t
136	10048	10118	70	t
137	10118	10199	81	t
138	10199	10319	120	t
139	10319	10356	37	o
140	10356	10485	129	t
141	10485	10577	92	t
142	10577	10629	52	t
143	10629	10859	230	o
144	10859	10916	57	t
145	10916	11001	85	t
146	11001	11051	50	t
147	11051	11113	62	t
148	11113	11180	67	o
149	11180	11249	69	o
150	11249	11293	44	t
151	11293	11416	123	t
152	11416	11461	45	o
153	11461	11628	167	o
154	11628	11708	80	o
155	11708	11798	90	t
156	11798	11845	47	t
157	11845	11916	71	t
158	11916	11953	37	t
159	11953	12024	71	t
160	12024	12143	119	o
161	12143	12213	70	t
162	12213	12252	39	t
163	12252	12340	88	o
164	12340	12393	53	t
165	12393	12447	54	o
166	12447	12548	101	t
167	12548	12607	59	t
168	12607	12683	76	o
169	12683	12780	97	o
170	12780	12893	113	t
171	12893	12948	55	o
172	12948	13021	73	t
173	13021	13078	57	t
174	13078	13132	54	o
175	13132	13428	296	t
176	13428	13549	121	o
177	13549	13596	47	t
178	13596	13657	61	t
179	13657	13752	95	t
180	13752	13804	52	t
181	13804	13892	88	t
182	13892	13936	44	o
183	13936	14014	78	t
184	14014	14066	52	t
185	14066	14087	21	o
186	14087	14198	111	t
187	14198	14219	21	o
188	14219	14315	96	t
189	14315	14378	63	t
190	14378	14454	76	o
191	14454	14511	57	t
192	14511	14678	167	o
193	14678	14732	54	t
194	14732	14816	84	t
195	14816	14870	54	t
196	14870	14984	114	t
197	14984	15023	39	t
198	15023	15177	154	t
199	15177	15233	56	t
200	15233	15273	40	o
201	15273	15358	85	t
202	15358	15561	203	t
203	15561	15584	23	t
204	15584	15628	44	t
205	15628	15669	41	t
206	15669	15749	80	t
207	15749	15869	120	t
208	15869	15939	70	o
209	15939	15994	55	t
210	15994	16073	79	t
211	16073	16166	93	t
212	16166	16249	83	t
213	16249	16297	48	t
214	16297	16340	43	o
215	16340	16394	54	t
216	16394	16465	71	t
217	16465	16522	57	t
218	16522	16559	37	t
219	16559	16661	102	t
220	16661	16779	118	t
221	16779	16895	116	t
222	16895	16946	51	t
223	16946	17118	172	o
224	17118	17185	67	t
225	17185	17226	41	t
226	17226	17313	87	t
227	17313	17455	142	t
228	17455	17526	71	o
229	17526	17572	46	t
230	17572	17598	26	t
231	17598	17750	152	t
232	17750	17897	147	t
233	17897	17938	41	t
234	17938	17977	39	t
235	17977	17995	18	o
236	17995	18211	216	t
237	18211	18283	72	t
238	18283	18379	96	t
239	18379	18442	63	t
240	18442	18487	45	o
241	18487	18556	69	t
242	18556	18640	84	o
243	18640	18712	72	t
244	18712	18769	57	t
245	18769	18807	38	t
246	18807	18910	103	t
247	18910	18944	34	t
248	18944	18999	55	o
249	18999	19082	83	t
250	19082	19135	53	t
251	19135	19195	60	t
252	19195	19233	38	t
253	19233	19301	68	t
254	19301	19373	72	t
255	19373	19536	163	t
256	19536	19587	51	t
257	19587	19643	56	t
258	19643	19719	76	t
259	19719	19778	59	o
260	19778	19882	104	t
261	19882	19998	116	t
262	19998	20162	164	o
263	20162	20192	30	o
264	20192	20302	110	t
265	20302	20377	75	o
266	20377	20420	43	o
267	20420	20505	85	t
268	20505	20574	69	t
269	20574	20754	180	o
270	20754	20794	40	t
271	20794	20877	83	t
272	20877	20934	57	o
273	20934	21023	89	t
274	21023	21060	37	t
275	21060	21256	196	t
276	21256	21293	37	t
277	21293	21376	83	t
278	21376	21442	66	t
279	21442	21520	78	o
280	21520	21569	49	o
281	21569	21679	110	o
282	21679	21786	107	t
283	21786	21836	50	t
284	21836	21920	84	t
285	21920	21969	49	t
286	21969	22019	50	o
287	22019	22072	53	t
288	22072	22175	103	t
289	22175	22241	66	t
290	22241	22300	59	t
291	22300	22351	51	t
292	22351	22426	75	t
293	22426	22474	48	t
294	22474	22586	112	t
295	22586	22801	215	t
296	22801	22899	98	t
297	22899	22942	43	t
298	22942	22978	36	t
299	22978	23101	123	t
300	23101	23154	53	t
301	23154	23229	75	t
302	23229	23318	89	t
303	23318	23402	84	t
304	23402	23470	68	t
305	23470	23530	60	o
306	23530	23686	156	t
307	23686	23799	113	t
308	23799	23891	92	o
309	23891	24029	138	t
310	24029	24101	72	t
311	24101	24237	136	t
312	24237	24325	88	t
313	24325	24388	63	t
314	24388	24500	112	o
315	24500	24590	90	t
316	24590	24635	45	t
317	24635	24715	80	t
318	24715	24755	40	t
319	24755	24833	78	t
320	24833	24962	129	t
321	24962	25043	81	t
322	25043	25165	122	t
323	25165	25210	45	t
324	25210	25274	64	o
325	25274	25320	46	t
326	25320	25415	95	t
327	25415	25497	82	o
328	25497	25587	90	t
329	25587	25670	83	t
330	25670	25792	122	o
331	25792	25978	186	o
332	25978	26044	66	o
333	26044	26088	44	t
334	26088	26156	68	o
335	26156	26203	47	o
336	26203	26274	71	o
337	26274	26388	114	t
338	26388	26589	201	t
339	26589	26705	116	t
340	26705	26771	66	t
341	26771	26837	66	t
342	26837	26954	117	t
343	26954	27076	122	t
344	27076	27158	82	t
345	27158	27301	143	t
346	27301	27347	46	o
347	27347	27592	245	t
348	27592	27631	39	o
349	27631	27876	245	t
350	27876	27952	76	o
351	27952	28037	85	t
352	28037	28083	46	o
353	28083	28198	115	t
354	28198	28270	72	o
355	28270	28330	60	t
356	28330	28442	112	t
357	28442	28589	147	t
358	28589	28635	46	t
359	28635	28688	53	t
360	28688	28822	134	t
361	28822	28867	45	t
362	28867	28904	37	t
